cod,NOMBRE,DEPTO,MPIO,LATITUD,LONGITUD,FECHA_INST,FECHA_SUSP
23087660,PTE LA FERIA [23087660],ANTIOQUIA,MARINILLA,6.1726666667,-75.3378611111,15/05/1992,
23087670,RIOTEX    [23087670],ANTIOQUIA,RIONEGRO,6.18125,-75.3663888889,15/03/1992,
23087830,FRESERA LA   [23087830],ANTIOQUIA,RIONEGRO,6.1997222222,-75.3340833333,15/09/1993,
23090020,VIRGINIAS    [23090020],ANTIOQUIA,PUERTO BERRÍO,6.3935555556,-74.6818055556,15/07/1976,
23097050,PTO SUIZA [23097050],ANTIOQUIA,PUERTO NARE,6.25,-74.5666666667,15/04/1977,15/11/1986
23100030,TIGRE EL   [23100030],ANTIOQUIA,VEGACHÍ,6.8404722222,-74.7856666667,15/06/1970,
23100040,YOLOMBO    [23100040],ANTIOQUIA,YOLOMBÓ,6.5942777778,-75.0109166667,15/04/1975,
23105030,VEGACHI    [23105030],ANTIOQUIA,VEGACHÍ,6.7741111111,-74.7965277778,15/04/1975,
23105060,VEGACHI AUTOM   ,ANTIOQUIA,VEGACHÍ,6.7741111111,-74.7965277778,20/11/2004,
23105070,MACEO AUTOMATICA ,ANTIOQUIA,MACEO,6.5716388889,-74.7947222222,18/06/2005,
23107030,MASCOTA LA [23107030],ANTIOQUIA,YALÍ,6.6396388889,-74.8754444444,15/05/1975,
23107040,VEGACHI    [23107040],ANTIOQUIA,VEGACHÍ,6.7723611111,-74.7975833333,15/04/1975,
23110010,PTO BOYACA [23110010],BOYACÁ,PUERTO BOYACÁ,5.95,-74.6,15/08/1959,15/06/1974
23117040,PTO BOYACA [23117040],BOYACÁ,PUERTO BOYACÁ,5.9783333333,-74.5666666667,15/08/1974,15/01/1976
23175020,APTO OTU   [23175020],ANTIOQUIA,REMEDIOS,7.01175,-74.7163055556,15/05/1940,
25020030,GUACAMAYO    [25020030],BOLÍVAR,ACHÍ,8.7272222222,-74.5122222222,15/07/1966,
25020310,NECHI [25020310],ANTIOQUIA,NECHÍ,8.1,-74.8333333333,15/07/1966,15/05/1970
25020330,CAIMITAL    [25020330],BOLÍVAR,SAN JACINTO DEL CAUCA,8.3663888889,-74.5691666667,15/09/1966,
25020350,GUARANDA    [25020350],BOLÍVAR,ACHÍ,8.4927777778,-74.5416666667,15/08/1966,
25020370,MONEDA LA HDA  ,ANTIOQUIA,CAUCASIA,8.0366666667,-74.9422222222,15/05/1970,
25020410,CANDELARIA LA   ,BOLÍVAR,SAN JACINTO DEL CAUCA,8.2194444444,-74.72875,15/07/1966,
25020420,VARAS LAS   [25020420],BOLÍVAR,SAN JACINTO DEL CAUCA,8.3876944444,-74.563,15/04/1987,
25020450,MONTECRISTO [25020450],BOLÍVAR,MONTECRISTO,8.3,-74.4333333333,15/07/1966,15/10/1974
25020510,ALPES LOS [25020510],BOLÍVAR,SAN JACINTO DEL CAUCA,8.4166666667,-74.55,15/08/1966,15/05/2002
25020530,ILUSION LA   [25020530],ANTIOQUIA,CAUCASIA,8.0255,-75.08975,15/05/1970,
25020540,PATIO BONITO   [25020540],ANTIOQUIA,NECHÍ,8.0311111111,-74.7061111111,15/05/1970,
25020800,BUENAVISTA    [25020800],BOLÍVAR,ACHÍ,8.5730555556,-74.5297222222,15/04/1974,
25020810,ASTILLEROS [25020810],BOLÍVAR,SAN JACINTO DEL CAUCA,8.2913333333,-74.6057222222,15/04/1974,
25020850,REGENCIA [25020850],BOLÍVAR,MONTECRISTO,8.1333333333,-74.65,15/05/1974,15/10/1992
25020940,VILLANUEVA    [25020940],SUCRE,GUARANDA,8.3327777778,-74.7355555556,15/04/1974,
25021120,SERRANIA SAN LUCAS ,BOLÍVAR,MONTECRISTO,8.3,-74.35,15/04/1974,15/06/1986
25021390,CAUCASIA [25021390],ANTIOQUIA,CAUCASIA,8,-75.2,15/02/1959,15/04/2004
25021480,ESPERANZA LA RADIO  ,ANTIOQUIA,NECHÍ,8.0319444444,-74.7885277778,15/03/1979,
25021490,RAYA LA   [25021490],BOLÍVAR,SAN JACINTO DEL CAUCA,8.3445555556,-74.5612222222,15/03/1979,
25021530,TALADRO EL [25021530],BOLÍVAR,SAN JACINTO DEL CAUCA,8.2666666667,-74.7333333333,15/09/1973,15/03/1974
25025130,VICTORIA LA [25025130],BOLÍVAR,ACHÍ,8.3333333333,-74.7333333333,15/06/1969,15/12/1971
25025140,NECHI [25025140],ANTIOQUIA,NECHÍ,8.1,-74.7666666667,15/05/1970,15/05/2002
